"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,,"Dollars",,,,,,,,,,,
,"Construction 6  (x 1,000,000)","..","..","..","..","..","..","..","13,369","13,160","14,303","15,471p","16,433p"
,"Engineering construction  [BS23C]  (x 1,000,000)","9,710","10,497","11,049","11,825","11,434","10,277","9,639","10,595","10,386","11,094","11,793p","12,694p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","7,092","8,200","8,304","8,112","8,500","7,571","7,064","7,815","7,480","8,486","9,069p","9,496p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","2,943","3,345","3,483","4,419","4,676","4,950","5,739","5,104","5,141","6,547","6,807p","6,533p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","792","846","1,209","1,029p","659p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","88","95","108","120p","100p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","181","246","275","320p","290p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","166","149","229","240p","235p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","494","469","639","701p","681p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","541","631","531","598","663","613","578","531","524","602","721p","839p"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","22,203","21,329","23,741","26,421p","26,744p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","366","464","576","634p","657p"
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","3,168","3,146","3,644","4,316","4,488","5,292","5,800","5,915","5,031","5,942","6,882p","7,191p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","4,785","5,152","5,585","5,571","5,922","6,156","6,568","6,863","6,596","7,367","7,781p","7,162p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","4,643","5,011","5,400","5,395","5,744","5,995","6,385","6,703","6,234","6,938","7,351p","6,655p"
,"Government services 11  (x 1,000,000)","..","..","..","..","..","..","..","8,780","8,855","9,430","10,608p","11,113p"
,"Other industries (Terminated) 12  (x 1,000,000)","9,372t","10,025t","10,470t","11,090t","11,243t","11,955t","12,382t","..t","..t","..t","..t","..t"
"Compensation of employees","Total, all industries  (x 1,000,000)","21,318","22,439","23,800","26,367","25,846","26,872","28,453","29,490","28,797","31,283","35,079p","37,469p"
,"Agriculture, forestry, fishing, and hunting 5  (x 1,000,000)","..","..","..","..","..","..","..","403","410","410","533p","530p"
,"Forestry and logging  [BS113]  (x 1,000,000)","..","..","..","..","..","..","..","133","115","100","115p","117p"
,"Support activities for forestry  [BS115300]  (x 1,000,000)","..","..","..","..","..","..","..","241","246","260","367p","357p"
,"Mining, quarrying, and oil and gas extraction  [BS210]  (x 1,000,000)","..","..","..","..","..","..","..","260","222","229","265p","283p"
,"Oil and gas extraction  [BS21100]  (x 1,000,000)","..","..","..","..","..","..","..","15","14","9","11p","12p"
,"Mining and quarrying   [BS213]  (x 1,000,000)","..","..","..","..","..","..","..","8","8","8","11p","12p"
,"Support activities for oil and gas extraction  [BS21311A]  (x 1,000,000)","..","..","..","..","..","..","..","163","127","131","156p","171p"
,"Support activities for mining  [BS21311B]  (x 1,000,000)","..","..","..","..","..","..","..","74","73","80","87p","88p"
,"Utilities  [BS220]  (x 1,000,000)","7,127","7,240","7,531","7,776","7,948","8,439","8,736","8,826","8,737","8,995","10,134p","11,233p"
,"Electricity power generation, transmission and distribution  [BS221100]  (x 1,000,000)","7,073","7,192","7,482","7,729","7,905","8,389","8,671","8,769","8,680","8,934","10,054p","11,149p"
,"Construction 6  (x 1,000,000)","..","..","..","..","..","..","..","7,599","7,496","8,207","9,201p","9,506p"
,"Engineering construction  [BS23C]  (x 1,000,000)","4,909","5,329","5,782","6,742","6,194","5,556","5,719","5,854","5,701","6,026","6,765p","6,904p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","3,280","3,812","3,854","3,928","3,944","3,497","3,669","3,711","3,507","4,058","4,573p","4,634p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","1,985","2,153","2,125","2,746","2,415","2,842","3,256","3,172","3,107","3,494","3,775p","3,869p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","630","532","448","458p","475p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","57","70","67","72p","65p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","109","155","163","190p","179p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","89","97","102","117p","120p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","349","336","482","509p","510p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","377","475","407","435","441","442","447","356","424","463","495p","522p"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","9,229","8,824","9,949","11,173p","12,048p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","243","308","373","413p","428p"
