"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Engineering construction  [BS23C]  (x 1,000,000)","1,302","1,200","1,098","1,120","1,126","1,123","1,319","1,719","1,731","1,780","1,974p","2,083p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","950","905","719","906","900","863","959","1,228","1,267","1,416","1,598p","1,626p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","513","544","602","666","725","830","804","627","733","836","770p","635p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","258","316","474","382p","232p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","21","31","33","38p","26p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","16","53","49","53p","50p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","40","35","28","24p","40p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","62","60","65","49p","51p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","13","25","20","12","25","13","8","12","28","21","24p","31p"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","3,052","2,861","3,381","3,996p","4,201p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","24","34","54","58p","58p"
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","429","448","521","625","545","822","867","746","602","832","1,058p","1,112p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","563","548","605","598","604","629","676","699","650","703","768p","716p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","546","532","578","579","584","603","641","674","604","647","710p","646p"
,"Government services 11  (x 1,000,000)","..","..","..","..","..","..","..","1,542","1,527","1,730","2,041p","2,238p"
,"Other industries (Terminated) 12  (x 1,000,000)","1,461t","1,479t","1,599t","1,701t","1,719t","1,855t","1,972t","..t","..t","..t","..t","..t"
"Compensation of employees","Total, all industries  (x 1,000,000)","2,768","2,672","2,793","2,964","2,758","3,172","3,601","3,742","3,711","4,125","4,625p","4,987p"
,"Agriculture, forestry, fishing, and hunting 5  (x 1,000,000)","..","..","..","..","..","..","..","183","118","116","234p","226p"
,"Forestry and logging  [BS113]  (x 1,000,000)","..","..","..","..","..","..","..","18","12","10","13p","12p"
,"Support activities for forestry  [BS115300]  (x 1,000,000)","..","..","..","..","..","..","..","163","95","99","213p","206p"
,"Mining, quarrying, and oil and gas extraction  [BS210]  (x 1,000,000)","..","..","..","..","..","..","..","20","21","24","26p","28p"
,"Oil and gas extraction  [BS21100]  (x 1,000,000)","..","..","..","..","..","..","..","0","0","0","0p","0p"
,"Mining and quarrying   [BS213]  (x 1,000,000)","..","..","..","..","..","..","..","1","1","1","1p","1p"
,"Support activities for oil and gas extraction  [BS21311A]  (x 1,000,000)","..","..","..","..","..","..","..","6","5","6","7p","8p"
,"Support activities for mining  [BS21311B]  (x 1,000,000)","..","..","..","..","..","..","..","13","14","17","18p","18p"
,"Utilities  [BS220]  (x 1,000,000)","816","734","763","804","646","702","948","690","742","883","918p","1,056p"
,"Electricity power generation, transmission and distribution  [BS221100]  (x 1,000,000)","810","727","756","797","640","694","938","682","733","873","905p","1,042p"
,"Construction 6  (x 1,000,000)","..","..","..","..","..","..","..","1,153","1,188","1,242","1,343p","1,434p"
,"Engineering construction  [BS23C]  (x 1,000,000)","629","621","611","598","599","593","692","928","964","964","1,044p","1,110p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","409","426","340","433","421","391","430","599","591","678","716p","751p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","338","334","348","406","411","523","493","513","507","439","459p","458p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","272","235","204","208p","201p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","16","27","26","29p","24p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","14","44","36","48p","49p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","14","17","13","14p","14p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","42","34","45","29p","29p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","7","11","11","9","19","11","6","8","15","16","16p","19p"
